,nexus7-2012-hmurakami
16715,247.57894897460938
16912,247.99998474121094
17035,246.90525817871094
17217,249.43157958984375
17319,248.5894775390625
17525,247.8315887451172
17620,247.4947509765625
17819,247.91578674316406
17943,247.99998474121094
18126,247.74737548828125
18244,247.4947509765625
18426,248.25262451171875
18729,248.08421325683594
18850,247.4947509765625
19030,246.9894561767578
19160,247.91578674316406
19333,248.50527954101562
19534,248.7578887939453
19663,247.66314697265625
19838,247.91578674316406
19961,247.8315887451172
20140,249.6842041015625
20265,248.08421325683594
20443,248.42105102539062
20563,248.50527954101562
20743,248.42105102539062
21044,247.91578674316406
21170,247.99998474121094
21346,247.4947509765625
21473,248.25262451171875
21647,247.91578674316406
21747,247.66314697265625
21948,247.57894897460938
22078,247.8315887451172
22251,247.15789794921875
22351,248.50527954101562
22551,248.16842651367188
22651,247.8315887451172
22855,247.0736846923828
22973,247.66314697265625
23155,248.42105102539062
23274,248.5894775390625
23458,247.57894897460938
23577,247.2421112060547
23758,248.50527954101562
23882,248.8421173095703
24060,248.08421325683594
24193,248.16842651367188
24360,248.3368377685547
24486,247.91578674316406
24663,248.08421325683594
24785,246.73684692382812
24963,200.08421325683594
25091,63.831573486328125
25267,62.3157958984375
25394,169.3473663330078
25569,245.22105407714844
25691,247.66314697265625
25874,247.8315887451172
25996,245.05262756347656
26175,246.90525817871094
26290,247.99998474121094
26576,247.57894897460938
26780,247.91578674316406
26903,248.25262451171875
27081,248.3368377685547
27207,247.4947509765625
27383,248.16842651367188
27510,247.99998474121094
27683,247.8315887451172
27808,248.25262451171875
27986,248.42105102539062
28093,248.08421325683594
28289,247.66314697265625
28414,248.50527954101562
28592,247.57894897460938
28696,248.7578887939453
28895,248.08421325683594
29019,248.50527954101562
29197,247.66314697265625
29303,247.91578674316406
29499,248.42105102539062
29604,248.16842651367188
29801,248.42105102539062
29927,248.16842651367188
30104,248.8421173095703
30208,247.91578674316406
30407,247.2421112060547
30608,247.91578674316406
30744,249.26315307617188
30918,248.8421173095703
31035,248.3368377685547
31219,248.08421325683594
31338,247.57894897460938
31520,248.3368377685547
31621,247.66314697265625
31821,248.16842651367188
31940,247.4947509765625
32122,248.3368377685547
32248,247.8315887451172
32425,248.8421173095703
32549,248.08421325683594
32727,246.65261840820312
32832,248.08421325683594
33028,247.66314697265625
33330,245.81053161621094
33460,246.56842041015625
33631,247.57894897460938
33755,247.91578674316406
33932,231.91578674316406
34062,174.2315673828125
34232,95.07368469238281
34365,45.894744873046875
34533,78.82106018066406
34666,145.09474182128906
34834,234.273681640625
34965,240.3368377685547
35134,244.8000030517578
35249,247.8315887451172
35435,247.0736846923828
35573,248.08421325683594
35736,247.57894897460938
35841,248.50527954101562
36038,248.3368377685547
36142,248.08421325683594
36341,248.50527954101562
36478,248.08421325683594
36643,247.74737548828125
36749,248.67367553710938
36946,248.3368377685547
37072,248.25262451171875
37247,247.99998474121094
37352,247.66314697265625
37548,248.42105102539062
37650,247.4105224609375
37849,248.42105102539062
37965,247.66314697265625
38250,247.91578674316406
38451,247.66314697265625
38581,246.90525817871094
38754,247.8315887451172
38867,247.15789794921875
39054,248.08421325683594
39160,247.2421112060547
39356,248.67367553710938
39558,247.66314697265625
39658,248.08421325683594
39858,247.66314697265625
39961,247.8315887451172
40064,248.67367553710938
40361,248.3368377685547
40461,248.25262451171875
40662,248.7578887939453
40762,248.16842651367188
40963,247.74737548828125
41164,247.57894897460938
41264,249.43157958984375
41565,247.66314697265625
41766,247.99998474121094
41867,247.15789794921875
42068,248.16842651367188
42168,247.32630920410156
42369,247.74737548828125
42470,248.08421325683594
42670,247.74737548828125
42773,247.91578674316406


